ObjectID,GlobalID,username,Tree Species,treecal,Native or Non-Native,typecal,Coniferous or Deciduous,fruitcal,Produced fruit?,Tree Health Answer,Tree Flag Answer,Deadwood Percentage,Height Calculation,Crown Spread Measurement,Please input your dbh calculation:,Comments,CreationDate,Creator,EditDate,Editor,x,y
14,4249efc8-d25a-40c8-8222-d42ee56dc079,aherstek@flemingcollege.ca_Fleming,(Picea pungens),Introduced,Introduced,Conifer,Conifer,No edible fruit,No edible fruit,1,good,0,15,8,0.3183,healthy tree!,10/30/2023 9:24:47 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:45:13 PM,aherstek@flemingcollege.ca_Fleming,-114.101602271507,51.0295193131677
15,c5e905f9-a2ea-4a1c-bfdd-b778c7a6cb12,aherstek@flemingcollege.ca_Fleming,(Picea pungens),Introduced,Introduced,Conifer,Conifer,No edible fruit,No edible fruit,3,"clr,trim",30,6,3,0.1273,"cir=0.4, tree growing very close to house",10/30/2023 9:26:26 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:49:36 PM,aherstek@flemingcollege.ca_Fleming,-114.100211522194,51.0295838597924
16,da468b82-ab54-49e6-b286-f67e12cd3eaa,aherstek@flemingcollege.ca_Fleming,(Sambucus callicarpa),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,2,"good,trim",20,5,9,0.0954,cir=0.3,10/30/2023 9:28:43 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:49:51 PM,aherstek@flemingcollege.ca_Fleming,-114.098443883024,51.0295147334415
17,815fb079-2d2d-421d-8d62-c7e88673f358,aherstek@flemingcollege.ca_Fleming,(Thuja plicata),Native,Native,Conifer,Conifer,No edible fruit,No edible fruit,1,clr,10,11,5,0.1273,cir=0.4,10/30/2023 9:30:08 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:49:43 PM,aherstek@flemingcollege.ca_Fleming,-114.096676734394,51.0295088111562
18,ac846d0f-1939-4ee7-8ad9-8a78149b1b57,aherstek@flemingcollege.ca_Fleming,(Alnus rubra),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,2,"clr,trim,damage",30,11,14,0.2546,cir=0.8,10/30/2023 9:32:21 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:49:21 PM,aherstek@flemingcollege.ca_Fleming,-114.094859614226,51.0293892456213
19,709c9770-d31e-48a0-b242-aacfc51e0f32,aherstek@flemingcollege.ca_Fleming,(Pinus banksiana),Native,Native,Conifer,Conifer,No edible fruit,No edible fruit,1,good,0,2,1,0.0954,cir=0.3,10/30/2023 9:34:04 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:49:06 PM,aherstek@flemingcollege.ca_Fleming,-114.094492743452,51.0279881103231
20,bd7bb252-cc2e-4bc1-9dfd-9dff95741c43,aherstek@flemingcollege.ca_Fleming,(Fraxinus americana),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,3,"trim,clr",40,15,30,0.3183,,10/30/2023 9:35:12 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:45:22 PM,aherstek@flemingcollege.ca_Fleming,-114.093778063319,51.0273390061717
21,562e9870-8d98-43bf-a8c9-78e6b1a6955e,aherstek@flemingcollege.ca_Fleming,(Fraxinus americana),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,4,"con,clr,trim,damage",50,17,47,0.7003,,10/30/2023 9:36:36 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:48:51 PM,aherstek@flemingcollege.ca_Fleming,-114.092688312289,51.026775723009
22,d049218a-fdb4-4d96-9553-b7e0813abafc,aherstek@flemingcollege.ca_Fleming,(Fagus grandifolia),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,5,"remove,clr,con,trim,damage",70,9,8,0.5,cir=0.5,10/30/2023 9:38:01 PM,aherstek@flemingcollege.ca_Fleming,10/30/2023 9:38:01 PM,aherstek@flemingcollege.ca_Fleming,-114.090975315418,51.0262518860424
23,92d1705d-8156-40e2-96b3-12707ade4657,aherstek@flemingcollege.ca_Fleming,(Quercus rubra),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,3,"trim,clr",30,15,55,0.7003,big oak!!!,10/30/2023 9:39:31 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:48:46 PM,aherstek@flemingcollege.ca_Fleming,-114.090468628628,51.0266411378045
