ObjectID,GlobalID,UserID,Elevation,Accuracy,Select the observed tree from the list:,The observed species type is:,The observed species native status is:,The DBH(Diameter at Breast Height) is:,Estimate the height (m) of the tree:,Estimate the spread of the canopy (m):,Estimate the amount (%) of deadwood in the canopy:,Rank the health of the tree 1 - 6:,Are any of these flag applicable? Select as many as apply.,Any comments?,CreationDate,Creator,EditDate,Editor,x,y
13,4bec2d02-1cc0-4ec1-b7b1-ec8ac53ac75a,rgoerlit@flemingcollege.ca_Fleming,272.7565574646,5,Austrian pine,Conifer,Introduced,9.55,30,20,Deadwood10,Health2,Trimming,,11/1/2023 6:42:25 PM,rgoerlit@flemingcollege.ca_Fleming,11/1/2023 6:42:25 PM,rgoerlit@flemingcollege.ca_Fleming,-78.7397785206127,44.341155085754
14,1bcd7ff4-3022-4b21-92fd-f404f66ad961,rgoerlit@flemingcollege.ca_Fleming,271.702768531501,5,Wild crab apple,Deciduous,Native,11.14,12,20,Deadwood10,Health3,"Trimming,PhysicaDamage",,11/1/2023 6:44:07 PM,rgoerlit@flemingcollege.ca_Fleming,11/1/2023 6:44:07 PM,rgoerlit@flemingcollege.ca_Fleming,-78.7395366188872,44.3408866972144
15,885134df-e9a8-468e-a648-4505b4c5ae1e,rgoerlit@flemingcollege.ca_Fleming,271.440103984365,5,Eastern white pine,Conifer,Native,6.37,20,15,Deadwood0,Health1,,,11/1/2023 6:45:44 PM,rgoerlit@flemingcollege.ca_Fleming,11/1/2023 6:45:44 PM,rgoerlit@flemingcollege.ca_Fleming,-78.7395279855269,44.3408014951687
16,6d5d3c42-bbac-48e2-9d7f-d37b6ced727c,rgoerlit@flemingcollege.ca_Fleming,270.832780665817,7.26707198839755,Eastern white pine,Conifer,Native,12.73,30,25,Deadwood20,Health2,"ClearBranches,Trimming",,11/1/2023 6:48:13 PM,rgoerlit@flemingcollege.ca_Fleming,11/1/2023 6:48:13 PM,rgoerlit@flemingcollege.ca_Fleming,-78.7395951245713,44.3407593761052
17,99683621-cc93-4ee4-851f-36888b5db500,rgoerlit@flemingcollege.ca_Fleming,272.168544769287,5,White ash,Deciduous,Native,0.64,3,0,Deadwood0,Health1,,,11/1/2023 6:49:37 PM,rgoerlit@flemingcollege.ca_Fleming,11/1/2023 6:49:37 PM,rgoerlit@flemingcollege.ca_Fleming,-78.7395882514107,44.3409064365964
18,534f3c9a-fdba-427f-ad76-96abdd557a3c,rgoerlit@flemingcollege.ca_Fleming,271.196285421367,5,European buckthorn,Deciduous,Naturalized,0.95,3,2,Deadwood10,Health3,"RemovalRecommended,PhysicaDamage",,11/1/2023 6:52:06 PM,rgoerlit@flemingcollege.ca_Fleming,11/1/2023 6:52:06 PM,rgoerlit@flemingcollege.ca_Fleming,-78.7392414920765,44.340572417755
19,5e41c541-dec4-4e87-ba4f-412cbfd7eb1b,rgoerlit@flemingcollege.ca_Fleming,270.031191648126,5,White spruce,Conifer,Native,6.37,10,3,Deadwood10,Health1,,,11/1/2023 6:53:50 PM,rgoerlit@flemingcollege.ca_Fleming,11/1/2023 6:53:50 PM,rgoerlit@flemingcollege.ca_Fleming,-78.7389091496158,44.3405081285577
20,c5159039-d95f-4624-942c-984d9e7a9a5e,rgoerlit@flemingcollege.ca_Fleming,270.074925475124,5,American beech,Deciduous,Native,3.18,2,1,Deadwood10,Health2,,,11/1/2023 6:56:00 PM,rgoerlit@flemingcollege.ca_Fleming,11/1/2023 6:56:00 PM,rgoerlit@flemingcollege.ca_Fleming,-78.7393739261466,44.3398984708305
21,0f933914-cf0f-4d9a-9ea1-b8fbfb23fc7e,rgoerlit@flemingcollege.ca_Fleming,270.201019982799,5,Blue-beech,Deciduous,Native,4.77,5,2,Deadwood10,Health1,,,11/1/2023 6:57:09 PM,rgoerlit@flemingcollege.ca_Fleming,11/1/2023 6:57:09 PM,rgoerlit@flemingcollege.ca_Fleming,-78.7394547276932,44.3398686312552
22,7d40ea0b-c3d1-4fa0-b0ab-2874e7ca7e44,rgoerlit@flemingcollege.ca_Fleming,269.637093897126,5,Northern catalpa,Deciduous,Introduced,11.14,30,15,Deadwood20,Health3,"ClearBranches,Trimming",,11/1/2023 6:58:23 PM,rgoerlit@flemingcollege.ca_Fleming,11/1/2023 6:58:23 PM,rgoerlit@flemingcollege.ca_Fleming,-78.7395833899069,44.339825967368
23,8f90bfc4-4ec6-4604-b223-7d8458e27ee6,rgoerlit@flemingcollege.ca_Fleming,270.190260791582,5,Trembling aspen,Deciduous,Native,12.73,30,15,Deadwood30,Health3,"ClearBranches,Trimming",,11/1/2023 7:00:34 PM,rgoerlit@flemingcollege.ca_Fleming,11/1/2023 7:00:34 PM,rgoerlit@flemingcollege.ca_Fleming,-78.7396261376131,44.3398302840482
24,cb9161b0-4919-46db-9555-17a0be74a7f6,rgoerlit@flemingcollege.ca_Fleming,267.593715667725,5,Bur oak,Deciduous,Native,4.77,15,5,Deadwood20,Health2,"ClearBranches,Trimming",,11/1/2023 7:02:04 PM,rgoerlit@flemingcollege.ca_Fleming,11/1/2023 7:02:04 PM,rgoerlit@flemingcollege.ca_Fleming,-78.7394574937213,44.3396342732425
