ObjectID,GlobalID,Name of the Data Collector:,Date and Time of the Survey Entry:,Latitude:,Longitude:,Altitude:,Horizontal Accuracy (hdop):,Vertical Accuracy (vdop):,What is the name of the tree?,CalTreetype,Class:,Caltreeorigin,Native:,The Health Estimate of the Observed Tree:,On a scale from 1-10: (Percent of total),The Height Estimate of the Observed Tree:,The Crown Spread Estimate of the Observed Tree:,Circumference of the Observed Tree at 1.4m height:,Diameter at Breast Height (DBH) of the Observed Tree:,Select the Appropriate Flags:,Additional Comments:,CreationDate,Creator,EditDate,Editor,x,y
12,94f09f19-5914-40a9-b518-d799f85351a0,1,11/6/2023 3:38:00 PM,44.34020333333333,-78.74162500000001,275.8,2,100,170,Conifer,Conifer,Native,Native,2,10,10,6.5,1.42,0.45200003838098274,"6,4","Overall, the tree is in good condition. Trimming is required in a few places.",11/6/2023 3:45:52 PM,nchenell@flemingcollege.ca_Fleming,11/6/2023 3:45:52 PM,nchenell@flemingcollege.ca_Fleming,-78.741625,44.3402033333333
13,f88970a0-0052-443a-b11a-a49d32f9f984,1,11/6/2023 3:47:00 PM,44.340136666666666,-78.742285,264.1,1.7000000476837158,3.5999999046325684,189,Conifer,Conifer,Native,Native,2,10,8,6,0.8,0.25464790894703254,8,Tree is in very good condition.,11/6/2023 3:49:39 PM,nchenell@flemingcollege.ca_Fleming,11/6/2023 3:49:39 PM,nchenell@flemingcollege.ca_Fleming,-78.742285,44.3401366666667
14,1cc3cd70-62e7-4132-9f61-201c0c5b613a,1,11/6/2023 3:50:00 PM,44.34025,-78.74288833333334,266,1.5,3.700000047683716,21,Deciduous,Deciduous,Native,Native,1,10,6.7,7,0.6,0.1909859317102744,8,Overall health of the tree is in good shape,11/6/2023 3:52:49 PM,nchenell@flemingcollege.ca_Fleming,11/6/2023 3:52:49 PM,nchenell@flemingcollege.ca_Fleming,-78.7428883333333,44.34025
15,06d4a027-dd3a-4203-95b8-74f14997c527,1,11/6/2023 3:53:00 PM,44.339965,-78.74424166666667,264.2,1.600000023841858,3.5999999046325684,184,Conifer,Conifer,Introduced,Introduced,2,10,5.8,4.3,0.6,0.1909859317102744,"3,4",There is an evedence of physical damage,11/6/2023 3:57:09 PM,nchenell@flemingcollege.ca_Fleming,11/6/2023 3:57:09 PM,nchenell@flemingcollege.ca_Fleming,-78.7442416666667,44.339965
16,8c0e6663-1dfa-42a9-9a0e-c19452369839,1,11/6/2023 3:57:00 PM,44.33989499999999,-78.74423833333334,266.7,1.7999999523162842,3.799999952316284,184,Conifer,Conifer,Introduced,Introduced,1,0,6.2,5.7,0.6,0.1909859317102744,8,Evidence of physical damage,11/6/2023 3:59:11 PM,nchenell@flemingcollege.ca_Fleming,11/6/2023 3:59:11 PM,nchenell@flemingcollege.ca_Fleming,-78.7442383333333,44.339895
17,5b9c6580-4dfa-4c84-b1da-16befd30d9ef,1,11/6/2023 4:01:00 PM,44.339666666666666,-78.74441666666667,265.5,1.7000000476837158,4,184,Conifer,Conifer,Introduced,Introduced,1,0,7.1,5.7,0.8,0.25464790894703254,3,Tree is in good condition,11/6/2023 4:03:56 PM,nchenell@flemingcollege.ca_Fleming,11/6/2023 4:03:56 PM,nchenell@flemingcollege.ca_Fleming,-78.7444166666667,44.3396666666667
18,ba3a8aa9-5e0d-476a-b5c6-e76a41208cf6,1,11/6/2023 4:03:00 PM,44.33947666666666,-78.74477,264.8,1.600000023841858,3.9000000953674316,170,Conifer,Conifer,Native,Native,1,0,8.5,4.3,0.73,0.2323662169141672,4,Tree in good condition,11/6/2023 4:05:55 PM,nchenell@flemingcollege.ca_Fleming,11/6/2023 4:05:55 PM,nchenell@flemingcollege.ca_Fleming,-78.74477,44.3394766666667
19,c63068c4-9749-45e2-9096-57901f9798dd,1,11/6/2023 4:06:00 PM,44.33933666666667,-78.74477166666667,274.5,1.7999999523162842,7.5,184,Conifer,Conifer,Introduced,Introduced,2,0,6.2,4.7,0.6,0.1909859317102744,6,Evidence of physical damage,11/6/2023 4:08:04 PM,nchenell@flemingcollege.ca_Fleming,11/6/2023 4:08:04 PM,nchenell@flemingcollege.ca_Fleming,-78.7447716666667,44.3393366666667
20,d0a2a29e-9ae2-44a6-966d-cf54842183bf,1,11/6/2023 4:08:00 PM,44.339421666666674,-78.74449833333333,271,1.7000000476837158,3.5999999046325684,184,Conifer,Conifer,Introduced,Introduced,1,10,7.4,4.1,0.8,0.25464790894703254,8,Tree is in good shape,11/6/2023 4:10:11 PM,nchenell@flemingcollege.ca_Fleming,11/6/2023 4:10:11 PM,nchenell@flemingcollege.ca_Fleming,-78.7444983333333,44.3394216666667
21,a2a033bf-095b-4292-93ff-934bca01b8a3,4,11/6/2023 4:04:00 PM,44.3412917,-78.7470824,235.099990844727,46.25,2.4572436809539795,176,Conifer,Conifer,Native,Native,2,30,8.5,3.5,0.7,0.22281692032865347,8,Good condition,11/6/2023 4:11:39 PM,hetparm@flemingcollege.ca_Fleming,11/6/2023 4:11:39 PM,hetparm@flemingcollege.ca_Fleming,-78.7470824,44.3412917
