ObjectID,GlobalID,Collectername,Input Date and Time:,Latitude,Longitude,Elevation,accuracy,What is the name of Tree?,treetype,nativetype,Estimation of Deadwood Canopy:,Enter the height of Tree:,Measure Crown Spread of the Tree:,Rank the Health of the Tree:,Input Circumference:,Calculated Diameter at Breast Height (DBH):,Select relevant flag according the condtion of Tree:,Comment About Tree:,CreationDate,Creator
14,6773a4df-148a-471b-9403-f7709c01932d,yuahma@flemingcollege.ca_Fleming,11/4/2023 9:45:00 PM,44.36875,-78.75898,235.80,3.79,Red oak,Deciduous,Native,45,12.00,6.50,Moderate concern,1.43,0.46,"Condition_to_be_monitored,Evidence_of_infestation",There is clear evidence of infestation,11/4/2023 9:52:06 PM,yuahma@flemingcollege.ca_Fleming
15,ace5f4de-c4b3-414e-833e-e67ee8311ae8,yuahma@flemingcollege.ca_Fleming,11/4/2023 9:52:00 PM,44.36837,-78.75882,235.87,3.79,White spruce,Coniferous,Native,15,14.00,7.00,No Concern,1.52,0.48,Beautiful_example_of_species,Healthy tree,11/4/2023 9:58:10 PM,yuahma@flemingcollege.ca_Fleming
16,c5f767c4-e227-4938-97d8-22e517037421,yuahma@flemingcollege.ca_Fleming,11/4/2023 10:00:00 PM,44.36802,-78.75856,237.69,3.79,Sweetgum,Deciduous,Introduced,95,6.40,1.43,No Concern,1.43,0.46,Trimming_dead/broken_branches,All the leaves are fall off.,11/4/2023 10:06:46 PM,yuahma@flemingcollege.ca_Fleming
17,7f6c4642-5e6e-4c1d-b629-7d67abed07e9,yuahma@flemingcollege.ca_Fleming,11/4/2023 10:06:00 PM,44.36786,-78.75845,233.62,3.79,Norway maple,Deciduous,Naturalized,100,5.79,5.00,No Concern,0.92,0.29,Clear_branches_near_Structure(s),Leaves are fall off to ground due to seasonal change,11/4/2023 10:10:36 PM,yuahma@flemingcollege.ca_Fleming
18,7ab109dc-dfed-4e51-878e-a301bf439d14,yuahma@flemingcollege.ca_Fleming,11/4/2023 10:11:00 PM,44.36768,-78.75844,234.89,3.79,White spruce,Coniferous,Native,15,8.26,5.50,No Concern,1.27,0.40,Beautiful_example_of_species,Healthy tree,11/4/2023 10:13:57 PM,yuahma@flemingcollege.ca_Fleming
19,44cdf3ec-306b-459a-a2b3-ca2fb0ce5cbb,yuahma@flemingcollege.ca_Fleming,11/4/2023 10:14:00 PM,44.36770,-78.75832,234.93,3.79,White spruce,Coniferous,Native,10,8.50,6.00,No Concern,1.3,0.41,Beautiful_example_of_species,Healthy tree,11/4/2023 10:15:05 PM,yuahma@flemingcollege.ca_Fleming
20,bc5082cb-ed71-434e-9002-f9d9ea7d08ec,yuahma@flemingcollege.ca_Fleming,11/4/2023 10:15:00 PM,44.36703,-78.75802,236.61,3.79,Red oak,Deciduous,Native,45,5.21,50.80,Concern,0.83,0.26,"Evidence_of_infestation,Clear_branches_near_Structure(s)",There is an evidence of infestation,11/4/2023 10:18:24 PM,yuahma@flemingcollege.ca_Fleming
21,282b6540-2c5c-4605-a3b6-3dda4492495b,yuahma@flemingcollege.ca_Fleming,11/4/2023 10:18:00 PM,44.36697,-78.75814,234.62,3.79,Norway maple,Deciduous,Naturalized,45,9.70,6.00,No Concern,1.42,0.45,Clear_branches_near_Structure(s),Overall comdition of the tree is in good shape,11/4/2023 10:20:33 PM,yuahma@flemingcollege.ca_Fleming
22,05623d8c-dcea-4ddf-8e43-083f567a7f31,yuahma@flemingcollege.ca_Fleming,11/4/2023 10:21:00 PM,44.36685,-78.75792,234.42,3.79,Norway maple,Deciduous,Naturalized,80,5.69,5.70,No Concern,0.8,0.25,"Clear_branches_near_Structure(s),Trimming_dead/broken_branches",40 percent of the leaves are fall off,11/4/2023 10:22:52 PM,yuahma@flemingcollege.ca_Fleming
23,329eb2ec-c2a5-408d-b641-f68d90abd789,yuahma@flemingcollege.ca_Fleming,11/4/2023 10:23:00 PM,44.36659,-78.75791,234.66,3.79,Siberian crab apple,Deciduous,Introduced,80,4.66,6.00,No Concern,0.7,0.22,Trimming_dead/broken_branches,Healthy tree,11/4/2023 10:25:16 PM,yuahma@flemingcollege.ca_Fleming
