ObjectID,GlobalID,Elevation,horizontalAccuracy,verticalAccuracy,Select the name of the tree.,class,orign,Please select the health condition of the tree.,Enter estimated percentage of dead wood.,Enter height of the tree.,Enter width of the Canopy.,Measured Circumferance,Diameter,Are there number of items from these possible flags?,Write comment if you have any.,Data Collection Date,CreationDate,Creator,EditDate,Editor,x,y
11,43308384-1cee-4eb1-b18c-502a373e5b8e,265.9019,4.9515,3.0507,white-spruce,Conifer,Native,1,0,12.5,3,0.18,0.06,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 7:37:26 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 7:37:26 PM,shwagl@flemingcollege.ca_Fleming,-78.7392642027297,44.3402633135563
12,7b954a61-e926-42b8-be7f-4033899b3bb4,297.5,3.2,29.2,basswood,Deciduous,Native,2,5,12.5,8,2,0.64,"trimming-dead/broken-branches,beautiful-example-of-species",,11/4/2023 4:00:00 PM,11/4/2023 7:39:55 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 7:39:55 PM,sipariya@flemingcollege.ca_Fleming,-78.7382883333333,44.3402833333333
13,2c518e6e-e3a3-42a3-a86b-a6bd8e1ee7f8,266.7498,4.9916,2.9847,white-spruce,Conifer,Native,2,5,18,6,1.45,0.46,trimming-dead/broken-branches,,11/4/2023 4:00:00 PM,11/4/2023 7:43:13 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 7:43:13 PM,shwagl@flemingcollege.ca_Fleming,-78.7383562196366,44.3399754121569
14,2c80fb1f-f5d6-4b56-9232-ded921b1120f,257.7,1.4,9.7,white-spruce,Conifer,Native,2,10,13,7,2.4,0.76,trimming-dead/broken-branches,,11/4/2023 4:00:00 PM,11/4/2023 7:44:41 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 7:44:41 PM,sipariya@flemingcollege.ca_Fleming,-78.73834,44.3399733333333
15,8af0f68f-a627-454c-a880-015d846e4804,264.5,1.4,10.2,eastern-white-pine,Conifer,Native,1,0,7.5,3.5,0.65,0.21,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 7:51:50 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 7:51:50 PM,sipariya@flemingcollege.ca_Fleming,-78.7375366666667,44.3401583333333
16,c70abb4e-c9b3-425e-973f-a9827ccc8b44,265.8647,4.9813,3.0019,western-larch,Conifer,Native,1,0,11,3,0.85,0.27,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 7:54:13 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 7:54:13 PM,shwagl@flemingcollege.ca_Fleming,-78.7374171586323,44.3400980658291
17,fcebe96c-784a-4f4e-b149-e102fc484c01,266.7,2.4,10.8,western-larch,Conifer,Native,1,0,8,2.5,0.35,0.11,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 7:56:38 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 7:56:38 PM,sipariya@flemingcollege.ca_Fleming,-78.7374533333333,44.34035
18,d4f94b1d-891a-456e-80ae-7ad940dafad9,265.4726,5.0318,2.9164,eastern-white-pine,Conifer,Native,1,0,13.5,3.5,1.25,0.4,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 7:57:16 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 7:57:16 PM,shwagl@flemingcollege.ca_Fleming,-78.7374386686278,44.3400901028846
19,872ba1cf-23e7-4a24-bf52-5d11c9603724,266.2739,5.0204,2.936,balsam-poplar,Deciduous,Native,2,10,4.5,5.5,0.65,0.21,trimming-dead/broken-branches,,11/4/2023 4:00:00 PM,11/4/2023 8:00:23 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:00:23 PM,shwagl@flemingcollege.ca_Fleming,-78.7376088933967,44.3402828866128
20,9cf62e83-6567-4179-bbcf-d32231887852,265.4,1.6,10.7,basswood,Deciduous,Native,1,0,5,1.8,0.25,0.08,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:11:27 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:11:27 PM,sipariya@flemingcollege.ca_Fleming,-78.737445,44.3405316666667
