ObjectID,GlobalID,What is the species of the tree?,treeclass,treenative,What would you rate the health of the tree (1 being no concerns and 6 being hazardous)?,What is the estimated % of deadwood in canopy (% of total)?,What is the estimated height of the tree (m) (above ground)?,What is the estimated width of the canopy (m)?,DBH,Any possible flags that the tree needs?,verticalaccuracy,horizontalaccuracy,sealevel,Date and time of observation,Any other comments on the tree?,CreationDate,Creator,EditDate,Editor,x,y
13,8f70aace-9689-4315-be2f-0279763964bf,Norwaymaple,Deciduous,Naturalized,1,10,7,6.5,0.3183098861837907,8,3.197918004426972,4.857762599155155,266.37543065380305,10/31/2023 6:50:14 PM,Cool maple on the Fleming campus,10/31/2023 6:50:56 PM,jacksmit@flemingcollege.ca_Fleming,10/31/2023 6:50:56 PM,jacksmit@flemingcollege.ca_Fleming,-78.7373591114709,44.3390870267362
14,dac48027-2d1f-449e-bed2-9a9ee4fc732c,Austrianpine,Conifer,Introduced,1,5,10,4,0.3183098861837907,8,3.303148352711526,4.786830683528295,267.51516970898956,11/1/2023 6:43:25 PM,,11/1/2023 6:45:27 PM,jacksmit@flemingcollege.ca_Fleming,11/1/2023 6:45:27 PM,jacksmit@flemingcollege.ca_Fleming,-78.7397599110778,44.3411133732804
15,6e965341-48f8-4f11-8051-f7aa112a5dcf,Austrianpine,Conifer,Introduced,2,20,10,4,0.477464829275686,2,3.3167279224668165,4.777431623908163,267.9960457291454,11/1/2023 6:46:59 PM,,11/1/2023 6:47:40 PM,jacksmit@flemingcollege.ca_Fleming,11/1/2023 6:47:40 PM,jacksmit@flemingcollege.ca_Fleming,-78.7397362891338,44.3411113750608
16,4c6ccc46-2558-46c4-9ed4-295dd5220e78,Austrianpine,Conifer,Introduced,4,8,9,1.7,0.5729577951308232,"2,3,4",3.372986750389552,4.737878999561446,268.00642869528383,11/1/2023 6:46:00 PM,,11/1/2023 6:47:49 PM,thpuvane@flemingcollege.ca_Fleming,11/1/2023 6:47:49 PM,thpuvane@flemingcollege.ca_Fleming,-78.7397180538573,44.3410971696732
17,01812050-71cf-4388-abe7-0aba60213284,Whiteash,Deciduous,Native,1,1,2,0.5,0.006366197723675814,"3,4",3.3809158584080974,4.732224106184477,268.61002237629145,11/1/2023 6:50:01 PM,,11/1/2023 6:50:15 PM,thpuvane@flemingcollege.ca_Fleming,11/1/2023 6:50:15 PM,thpuvane@flemingcollege.ca_Fleming,-78.7395860969146,44.3409941978813
18,a92b6763-9736-4a18-a355-40eb2fc30043,Wildcrabapple,Deciduous,Native,1,10,5,8,0.238732414637843,"8,2",3.365938621850148,4.742888806068129,266.68737353850156,11/1/2023 6:52:12 PM,,11/1/2023 6:52:32 PM,jacksmit@flemingcollege.ca_Fleming,11/1/2023 6:52:32 PM,jacksmit@flemingcollege.ca_Fleming,-78.7395108868668,44.3408587618988
19,5ecf961f-0c1a-41de-9137-b09bb1dd24e6,Easternwhitepine,Conifer,Native,1,1,10,4,0.6366197723675814,8,3.380079990424471,4.732821176752926,267.4371582986787,11/1/2023 6:52:25 PM,,11/1/2023 6:52:38 PM,thpuvane@flemingcollege.ca_Fleming,11/1/2023 6:52:38 PM,thpuvane@flemingcollege.ca_Fleming,-78.7394390359373,44.3407980721463
20,9db95e6a-2285-4863-b559-ae497e3be660,Redmulberry,Deciduous,Native,1,1,2,1,0.03183098861837907,"8,3",3.3828679199570577,4.730828856438822,266.37480384949595,11/1/2023 6:58:00 PM,,11/1/2023 6:58:12 PM,thpuvane@flemingcollege.ca_Fleming,11/1/2023 6:58:12 PM,thpuvane@flemingcollege.ca_Fleming,-78.7383111796727,44.3397591859863
21,57ae8ab8-0e8e-4855-a5c8-62319c913d52,Redbud,Deciduous,Native,2,10,3,2.5,0.03183098861837907,8,3.331029295045291,4.767471118773443,266.27678226679564,11/1/2023 6:58:55 PM,,11/1/2023 6:59:07 PM,jacksmit@flemingcollege.ca_Fleming,11/1/2023 6:59:07 PM,jacksmit@flemingcollege.ca_Fleming,-78.7383450605282,44.3397695905712
22,23e5a46a-77db-44a4-833d-56baeca144ea,Cucumbertree,Deciduous,Native,1,1,1.5,1,0.03183098861837907,8,3.3766602134071224,4.735261643878002,266.206139809452,11/1/2023 7:00:00 PM,,11/1/2023 7:00:10 PM,thpuvane@flemingcollege.ca_Fleming,11/1/2023 7:00:10 PM,thpuvane@flemingcollege.ca_Fleming,-78.738061867659,44.3396504970603
