scientificName,englishName,class,orign,Edible fruit
(Abies balsamea),Balsam fir,Conifer,Native,
(Abies concolor),White fir,Conifer,Introduced,
(Abies grandis),Grand fir,Conifer,Native,
(Abies lasiocarpa),Subalpine fir,Conifer,Native,
(Abies magnifica),Red fir,Conifer,Introduced,
(Abies nordmanniana),Nordmann fir,Conifer,Introduced,
(Abies pinsapo),Spanish fir,Conifer,Introduced,
(Abies procera),Noble fir,Conifer,Introduced,
(Acer circinatum),Vine maple,Deciduous,Native,
(Acer ginnala),Amur maple,Deciduous,Introduced,
(Acer glabrum var. douglasii),Douglas maple,Deciduous,Native,
(Acer macrophyllum),Bigleaf maple,Deciduous,Native,
(Acer negundo),Manitoba maple,Deciduous,Native,
(Acer nigrum),Black maple,Deciduous,Native,
(Acer palmatum),Japanese maple,Deciduous,Introduced,
(Acer pensylvanicum),Striped maple,Deciduous,Native,
(Acer platanoides),Norway maple,Deciduous,Naturalized,
(Acer pseudoplatanus),Sycamore maple,Deciduous,Introduced,
(Acer rubrum),Red maple,Deciduous,Native,
(Acer saccharinum),Silver maple,Deciduous,Native,
(Acer saccharum),Sugar maple,Deciduous,Native,
(Acer spicatum),Mountain maple,Deciduous,Native,
(Aesculus glabra),Ohio buckeye,Deciduous,Native,
(Aesculus hippocastanum),Horsechestnut,Deciduous,Naturalized,
(Aesculus x carnea),Red horsechestnut,Deciduous,Introduced,
(Ailanthus altissima),Ailanthus,Deciduous,Naturalized,
(Alnus glutinosa),European black alder,Deciduous,Naturalized,
(Alnus incana ssp. rugosa),Speckled alder,Deciduous,Native,
(Alnus incana ssp. tenuifolia),Mountain alder,Deciduous,Native,
(Alnus rubra),Red alder,Deciduous,Native,
(Alnus serrulata),Hazel alder,Deciduous,Native,
(Alnus viridis ssp. crispa),Green alder,Deciduous,Native,
(Alnus viridis ssp. fruticosa),Siberian alder,Deciduous,Native,
(Alnus viridis ssp. sinuata),Sitka alder,Deciduous,Native,
(Amelanchier alnifolia),Saskatoon,Deciduous,Native,Edible Tree
(Amelanchier arborea),Downy serviceberry,Deciduous,Native,Edible Tree
(Amelanchier bartramiana),Mountain serviceberry,Deciduous,Native,Edible Tree
(Amelanchier florida),Pacific serviceberry,Deciduous,Native,Edible Tree
(Amelanchier laevis),Smooth serviceberry,Deciduous,Native,Edible Tree
(Amelanchier sanguinea),Roundleaf serviceberry,Deciduous,Native,Edible Tree
(Aralia elata),Japanese angelica-tree,Deciduous,Introduced,
(Araucaria araucana),Monkey-puzzle,Conifer,Introduced,Edible Tree
(Arbutus menziesii),Arbutus,Conifer,Native,Edible Tree
(Asimina triloba),Pawpaw,Deciduous,Native,Edible Tree
(Betula alleghaniensis),Yellow birch,Deciduous,Native,
(Betula cordifolia),Mountain paper birch,Deciduous,Native,
(Betula kenaica),Kenai birch,Deciduous,Native,
(Betula lenta),Cherry birch,Deciduous,Native,
(Betula neoalaskana),Alaska paper birch,Deciduous,Native,
(Betula occidentalis),Water birch,Deciduous,Native,
(Betula papyrifera),White birch,Deciduous,Native,
(Betula pendula),European white birch,Deciduous,Naturalized,
(Betula populifolia),Gray birch,Deciduous,Native,
(Betula xcaerulea),Blueleaf birch,Deciduous,Native,
(Caragana arborescens),Siberian pea-tree,Deciduous,Introduced,Edible Tree
(Carpinus caroliniana),Blue-beech,Deciduous,Native,
